loco_number,current_operator,vehicle_description,train_id,route,date_time_added,last_seen,lat,lon,source
CSR021,,SCT Intermodal,4MB9,"4MB9 SCT, Laverton SCT, Bromelton",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-33.88722,150.950813,trains.json
CSR023,,SCT Steel Shunt / Wine Train,1161S,"1161S Wingfield / Pelican Point SCT, Penfield",2026-04-29T17:31:31.316802Z,2026-04-29T17:31:31.316802Z,-34.69476,138.59048,trains.json
DS003,,,M977,M977,2026-04-29T17:31:31.316802Z,2026-04-29T17:31:31.316802Z,-33.840587,151.025293,trains.json
EA2502,,NSW Trainlink Xplorer,NP23,NP23 Central Moree/Armidale,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-33.55188,151.200747,trains.json
EA2503,,Test,TST1,TST1,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-33.89781,151.193013,trains.json
EA2506,,NSW Trainlink Xplorer (Joins SP34),SP44,SP44 Griffith Goulburn,2026-04-30T00:02:48.407086Z,2026-04-30T00:02:48.407086Z,-34.87014,147.583893,trains.json
EC2521,,NSW Trainlink Xplorer,NP24,NP24 Armidale/Moree Central,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-31.087017,150.930693,trains.json
EC2525,,NSW Trainlink Xplorer,SP32,SP32 Canberra Central,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-34.18283,150.613507,trains.json
EC2526,,NSW Trainlink Xplorer (Joins SP34),SP44,SP44 Griffith Goulburn,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-34.644547,148.027293,trains.json
FIE001,,SSR Containerised Freight,1847,1847 Port Botany Fletchers Siding Dubbo,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-33.28057,149.105013,trains.json
FIE003,,SSR Containerised Freight,1847,1847 Port Botany Fletchers Siding Dubbo,2026-04-30T00:02:48.407086Z,2026-04-30T00:02:48.407086Z,-32.202823,148.638947,trains.json
G513,,SSR Cement,1243,1243 Clyde Yard Berrima Cement Works,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-34.50904,150.334827,trains.json
G514,,SSR Cement,1445,"1445 Leightonfield (ex Berrima Cement Works on train #2144) Boral, Kooragang Island",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.881583,151.76116,trains.json
G516,,Swift Trip Train,T170,T170 Enfield Port Botany,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-33.953857,151.217387,trains.json
G532,,QUBE BlueScope Steel,9563,9563 North Dynon Hastings (Long Island),2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-37.801763,144.928307,trains.json
G533,,,G533,G533,2026-04-29T17:31:31.316802Z,2026-04-29T18:02:14.194502Z,-34.81521,138.601453,trains.json
G534,,Swift Trip Train,T174,T174 Enfield Port Botany,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-33.96496,151.214733,trains.json
G536,,PN Containerised Freight,9203,"9203 Appleton Dock WestVic Siding, Warrnambool",2026-04-29T17:31:31.316802Z,2026-04-29T23:45:49.028656Z,-37.89981,144.660533,trains.json
GL103,,SCT Shunter,SHUNT,SHUNT,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-34.695303,138.590973,trains.json
GL105,,SCT Containerised Freight,9721V,9721V Appleton Dock WALH (Dooen),2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-36.640683,142.289587,trains.json
GL108,,,D137,D137,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-34.66984,150.228453,trains.json
GL111,,Aurizon Shunter,SHUNT,SHUNT,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-34.748763,149.736253,trains.json
GWA002,,Aurizon Intermodal,4AD1,4AD1 Gillman Yard (Port Flat) Berrimah (Darwin),2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-31.055433,135.8238,trains.json
GWA004,,Aurizon Intermodal,3DA6,3DA6 Berrimah (Darwin) Gillman Yard (Port Flat),2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-31.461877,137.02264,trains.json
GWA008,,Aurizon Intermodal,1101,1101,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-34.822533,138.59368,trains.json
GWA009,,Aurizon Empty Grain / Wagon Transfer,1411S,1411S Dry Creek North Port Pirie,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-33.180267,138.013333,trains.json
GWB102,,Aurizon Loaded Copper,8102,8102 Pimba Gillman Yard (Port Flat),2026-04-29T18:02:14.194502Z,2026-04-30T00:32:55.361185Z,-34.364377,138.380013,trains.json
GWB103,,Aurizon Empty Ore,6913,6913 Whyalla Wirrida,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-32.478973,137.77088,trains.json
GWB104,,Aurizon Empty Ore,6913,6913 Whyalla Wirrida,2026-04-29T17:31:31.316802Z,2026-04-30T00:32:55.361185Z,-29.50621,134.56028,trains.json
GWU008,,ORA Coal,BC179,BC179 PWCS Kooragang Bulga,2026-04-29T17:19:50.671764Z,2026-04-30T00:02:48.407086Z,-32.660957,151.24024,trains.json
GWU013,,Aurizon Loaded Ore,9612,9612 Wirrida Whyalla,2026-04-29T18:02:14.194502Z,2026-04-30T00:02:48.407086Z,-31.72365,137.2306,trains.json
GWU014,,,1101,1101,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-34.821613,138.594627,trains.json
GWU015,,Aurizon Wagon Transfer,4613,4613 Spencer Jct. Whyalla,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-32.89714,137.562693,trains.json
HM2701,,Empty Car Transfer,V326,V326,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.920533,151.751627,trains.json
HM2702,,Hunter Line Service,V731,V731 Newcastle Interchange Telarah,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-32.72364,151.53972,trains.json
